berth_name,x,y
Tower Stairs Tier,-0.0817309601953296,51.50764387008139
St Katharine's Dock,-0.07243326650262435,51.50600764681153
President Quay,-0.07111271646231233,51.50486186015931
Express Wharf,-0.027677098284026872,51.4996430798702
West India Lock,-0.008586394700609973,51.50129883204568
Pura Foods,0.0023594585240228234,51.50776703342074
Orchard Wharf,0.004827145018993284,51.508174508508006
Thames Wharf,0.010072039862611832,51.506196263812164
Royal Primrose Works,0.018453420139968073,51.500207045146425
Silvertown Wharf,0.021857057321514082,51.49897935736323
Deanstons Wharf,0.024136663057588104,51.498400467631235
Island Jetty,0.02482463375028922,51.49766917242256
Wards Wharf,0.038029512626460954,51.49977852982926
Thames Refinery - Outer,0.047187151238667735,51.49836003067173
Thames Refinery - Inner,0.04936878471925949,51.498816525029284
Loders Croklaan Ltd,0.052554190737007345,51.499165486069415
King George V Lock,0.07515555969103706,51.501915173616446
Northern Outfall Jetty,0.09255601872017148,51.51374623628748
Welbeck Wharf,0.09226848331969453,51.52634125966751
Alexander Wharf,0.093029751123056,51.52407948342766
Pinn's Wharf,0.09285274767149868,51.52336321987571
Kierbeck Wharf,0.09337120724371382,51.52209497825291
Rippleway Wharf,0.09560115973327997,51.51728897879123
Docklands Wharf,0.09979775250161643,51.514516078071864
Victoria Stone Wharf,0.10265726711153585,51.51401520433301
De Pass Wharf,0.10552500443353724,51.5136939688756
Barking Power Station Jetty,0.11277939935101698,51.51473256698731
RMC Dagenham,0.13307911940851463,51.51733273589099
No.7 Jetty - Dagenham,0.1366458758918152,51.51654838071067
Thunderer Jetty,0.14091570549183863,51.51539136921829
White Mountain,0.14308006205325358,51.51544176626361
Amey's Jetty,0.14446106741549689,51.514157521769384
East Jetty,0.1451979803687649,51.514503758579956
Arco Jetty,0.14772668671746883,51.513108546355646
Ford's Jetty,0.15299541272825778,51.51175293441185
Phoenix Jetty - Rainham,0.17224242887736466,51.507351187880325
Tilda Jetty,0.17913705579495484,51.5008382969449
Rainham Pumping Station,0.18193507359530922,51.493052345566426
Mowlems Wharf,0.23193705950495025,51.48149942430477
Harrisons Wharf,0.23218096950389963,51.480595478665045
Powell Duffryn Terminals Ltd - Main Jetty,0.23753704317470173,51.477031060115934
Powell Duffryn Terminals Ltd - No.2/3 Upper,0.23688762807140598,51.47759202809751
Powell Duffryn Terminals Ltd - No.7 Lower,0.23863070261612984,51.47642563390459
Powell Duffryn Terminals Ltd - No.4 Lower,0.23849883421647658,51.476967733943184
Powell Duffryn Terminals Ltd - No.5 Middle,0.23778264344049863,51.47734112835291
Powell Duffryn Terminals Ltd - No.6 Upper,0.2373214700006018,51.47762871444005
Esso No.2 - Lower,0.2457498577835662,51.47242246190298
Purfleet Deep Water - Upper,0.24758475489055418,51.47166785192888
Purfleet Deep Water - Lower,0.250678940338285,51.470169597117184
Jurgens Jetty,0.2546271702352728,51.46847497428029
